2866,courierp,Whitelist,9,,0,a:0:{},1,1,1,1
2867,courierp,Vacation,8,,0,a:0:{},1,1,0,2
2868,courierp,Blacklist,7,,0,a:0:{},1,1,1,3
2869,courierp,"Spam Filter",14,,0,a:0:{},1,1,0,4
2870,courierp,Forward,10,,0,a:0:{},1,1,1,5
5493,info@courierpack.com.ve,Whitelist,9,,0,a:0:{},1,1,1,1
5494,info@courierpack.com.ve,Vacation,8,,0,a:0:{},1,1,0,2
5495,info@courierpack.com.ve,Blacklist,7,,0,a:0:{},1,1,1,3
5496,info@courierpack.com.ve,"Spam Filter",14,,0,a:0:{},1,1,0,4
5497,info@courierpack.com.ve,Forward,10,,0,a:0:{},1,1,1,5
